traitement,seuil,n_switchers,part_switchers,part_variation_conservee
Lisière,0.5260768057416775,3140,0.31197218082463984,0.8613467627321327
Lisière,0.5589566061005323,2994,0.29746646795827125,0.8498732247265437
Lisière,0.5918364064593872,2884,0.28653750620963736,0.84069542036486955
Lisière,0.624716206818242,2799,0.2780923994038748,0.8331906586136938
Lisière,0.6575960071770969,2710,0.26924987580725285,0.824914029577079
Lisière,0.6904758075359517,2625,0.2608047690014903,0.8166176557999578
Lisière,0.7233556078948066,2547,0.25305514157973175,0.8086253881420241
Lisière,0.7562354082536614,2466,0.24500745156482862,0.7999362693341029
Lisière,0.7891152086125162,2365,0.23497267759562843,0.788625565110578
Lisière,0.821995008971371,2283,0.22682563338301043,0.7790657930165693
Lisière,0.8548748093302259,2195,0.21808246398410333,0.7683779821092842
Lisière,0.8877546096890807,2120,0.21063089915548933,0.758892889896643
Lisière,0.9206344100479356,2060,0.20466964729259812,0.7510457757609169
Lisière,0.9535142104067904,1984,0.19711872826626925,0.7407278898954612
Lisière,0.9863940107656453,1916,0.1903626428216592,0.7311619058919775
Lisière,1.0192738111245,1862,0.18499751614505713,0.7233233545906986
Lisière,1.052153611483355,1805,0.17933432687531048,0.714767262734944
Lisière,1.0850334118422098,1738,0.1726775956284153,0.7043878785056984
Lisière,1.1179132122010647,1690,0.16790859413810233,0.6967465987927066
Lisière,1.1507930125599195,1641,0.1630402384500745,0.6886674050301167
Lisière,1.1836728129187744,1590,0.15797317436661698,0.6800411677301393
Lisière,1.2165526132776292,1546,0.15360158966716345,0.6724010606191374
Lisière,1.249432413636484,1509,0.14992548435171385,0.665778222965955
Lisière,1.282312213995339,1475,0.14654744162940883,0.6595188506743069
Lisière,1.3151920143541938,1437,0.14277198211624442,0.652359714813065
Lisière,1.3480718147130486,1403,0.1393939393939394,0.6458101343903597
Lisière,1.3809516150719034,1368,0.13591654247391952,0.638878555966897
Lisière,1.4138314154307583,1338,0.13293591654247391,0.6327970651573874
Lisière,1.4467112157896131,1304,0.1295578738201689,0.6257668433070308
Lisière,1.479591016148468,1269,0.12608047690014904,0.6183444735015837
Lisière,1.5124708165073228,1230,0.12220566318926974,0.6098979647865383
Lisière,1.5453506168661777,1193,0.11852955787382016,0.601696536292957
Lisière,1.5782304172250323,1172,0.11644311972180825,0.5969503518770127
Lisière,1.6111102175838872,1140,0.11326378539493294,0.5895541146846227
Lisière,1.643990017942742,1107,0.10998509687034277,0.5817635049218578
Lisière,1.6768698183015969,1079,0.10720317933432688,0.5750300545191579
Lisière,1.7097496186604517,1051,0.10442126179831097,0.5681571393308809
Lisière,1.7426294190193066,1028,0.10213611525086935,0.5624115220780133
Lisière,1.7755092193781614,1003,0.09965226030799801,0.5560325949681847
Lisière,1.8083890197370163,988,0.09816194734227521,0.5521369228148509
Lisière,1.8412688200958711,965,0.09587680079483359,0.5460516765323671
Lisière,1.874148620454726,947,0.09408842523596622,0.5412071502174878
Lisière,1.9070284208135808,929,0.09230004967709886,0.5362809578566721
Lisière,1.9399082211724357,909,0.09031296572280179,0.5307119676942104
Lisière,1.9727880215312905,893,0.08872329855936413,0.5261793577837354
Lisière,2.0056678218901456,878,0.08723298559364133,0.5218589026020849
Lisière,2.038547622249,856,0.08504719324391456,0.5154166999360176
Lisière,2.0714274226078553,842,0.0836562344759066,0.5112455283593043
Lisière,2.10430722296671,822,0.08166915052160954,0.5051909647869833
Lisière,2.1371870233255645,799,0.07938400397416791,0.4981181965328288
Lisière,2.1700668236844196,771,0.07660208643815201,0.4893837078206807
Lisière,2.2029466240432742,753,0.07481371087928465,0.4836703135409509
Lisière,2.2358264244021293,739,0.0734227521112767,0.4791669546191666
Lisière,2.268706224760984,727,0.07223050173869847,0.4752514318459449
Lisière,2.301586025119839,717,0.07123695976154992,0.471936181171045
Lisière,2.3344658254786936,699,0.06944858420268256,0.4658893640153032
