traitement,variable_dependante,seuil,estimateur_as,n_observations_trim,n_switchers,n_stayers,commentaire
lisière,log(productivite),0.054,0.002970757359330314,22989,3174,19815,OK
lisière,log(productivite),0.055,0.0025834100109473866,23018,3175,19843,OK
lisière,log(productivite),0.056,0.00231647291282733,23054,3190,19864,OK
lisière,log(productivite),0.057,0.00232324038677603,23084,3192,19892,OK
lisière,log(productivite),0.058,0.002270117645798058,23106,3192,19914,OK
lisière,log(productivite),0.059000000000000004,0.002327682394465033,23119,3186,19933,OK
lisière,log(productivite),0.060000000000000005,0.0023697911130514324,23165,3210,19955,OK
lisière,log(productivite),0.061,0.001993101912012684,23192,3215,19977,OK
lisière,log(productivite),0.062,0.001919528826594287,23212,3210,20002,OK
lisière,log(productivite),0.063,0.002601801640463974,23251,3224,20027,OK
lisière,log(productivite),0.064,0.0024627639665960126,23264,3218,20046,OK
lisière,log(productivite),0.065,0.0024855844992150177,23281,3217,20064,OK
lisière,log(productivite),0.066,0.0025165912948799316,23312,3226,20086,OK
lisière,log(productivite),0.067,0.002491602981571546,23326,3227,20099,OK
lisière,log(productivite),0.068,0.002607032354864055,23351,3231,20120,OK
lisière,log(productivite),0.069,0.002600459692736979,23364,3229,20135,OK
lisière,log(productivite),0.07,0.002079919718351096,23381,3226,20155,OK
lisière,log(productivite),0.07100000000000001,0.0025573962455291265,23431,3257,20174,OK
lisière,log(productivite),0.07200000000000001,0.002143723994631653,23460,3264,20196,OK
lisière,log(productivite),0.07300000000000001,0.0019153287301363375,23486,3271,20215,OK
lisière,log(productivite),0.074,0.002007137997957119,23497,3263,20234,OK
lisière,log(productivite),0.075,0.0016951353883568829,23523,3268,20255,OK
lisière,log(productivite),0.076,0.0023314020978280206,23550,3279,20271,OK
lisière,log(productivite),0.077,0.002348272126603834,23554,3264,20290,OK
lisière,log(productivite),0.078,0.002649586839326722,23605,3289,20316,OK
lisière,log(productivite),0.079,0.002621509259763442,23627,3296,20331,OK
lisière,log(productivite),0.08,0.002205372932699086,23655,3299,20356,OK
lisière,log(productivite),0.081,0.002235338579743149,23678,3305,20373,OK
lisière,log(productivite),0.082,0.0023697876387857733,23708,3314,20394,OK
lisière,log(productivite),0.083,0.0026106295093530517,23724,3312,20412,OK
lisière,log(productivite),0.084,0.0026312640533675434,23741,3313,20428,OK
lisière,log(productivite),0.085,0.0028047138950348643,23765,3320,20445,OK
lisière,log(productivite),0.08600000000000001,0.003435624980765478,23777,3316,20461,OK
lisière,log(productivite),0.08700000000000001,0.0034475148174772886,23789,3317,20472,OK
lisière,log(productivite),0.08800000000000001,0.003212509886596103,23808,3320,20488,OK
lisière,log(productivite),0.089,0.0027307510698493555,23827,3319,20508,OK
lisière,log(productivite),0.09,0.002657579779865688,23853,3328,20525,OK
lisière,log(productivite),0.091,0.0026975501884182068,23862,3321,20541,OK
lisière,log(productivite),0.092,0.0030875875642054863,23879,3313,20566,OK
lisière,log(productivite),0.093,0.0031313228395585856,23887,3307,20580,OK
lisière,log(productivite),0.094,0.002953902418645598,23899,3308,20591,OK
lisière,log(productivite),0.095,0.0029561439853532058,23912,3305,20607,OK
lisière,log(productivite),0.096,0.0029624981904762247,23922,3301,20621,OK
lisière,log(productivite),0.097,0.0029824926704454845,23928,3292,20636,OK
lisière,log(productivite),0.098,0.0030810436677192617,23954,3296,20658,OK
lisière,log(productivite),0.099,0.003046092532506754,23959,3291,20668,OK
lisière,log(productivite),0.1,0.0031152934487799805,23975,3294,20681,OK
