"X","seuil","delta_1","n_switchers"
NA,0.0104227145155892,1.38677951121606,5612
NA,0.0131967689935118,-0.169393627641297,4924
NA,0.0164361092029139,-0.518061326267057,4245
NA,0.0157256310340017,-0.334381266487919,4370
NA,0.019596438347362,-1.0305087276496,3679
NA,0.00878863072488457,0.891754415701897,6110
NA,0.00623404404148459,3.32413984188999,7047
NA,0.00818949905224144,0.506654319621915,6299
NA,0.000209342236630619,14.6157061848192,10915
NA,0.0036769904801622,0.623396946936427,8188
NA,0.0168545863777399,-0.568204264912305,4165
NA,0.00462323564104736,1.84794639000103,7715
NA,0.00478199911303818,2.01235423589632,7631
NA,0.00153382330667228,-3.34751853828356,9522
NA,0.00491447356063873,2.52342823593486,7572
NA,0.0146427041105926,-0.20553428054985,4587
NA,0.0169490633020177,-0.569638019856502,4155
NA,0.00995054534170777,1.68590807816672,5746
NA,0.00775818059686571,2.95221283038505,6473
NA,0.00492897988297045,2.576492508284,7565
NA,0.00222192922607064,-2.25382402576745,9002
NA,0.00779988870490342,0.592280523883523,6457
NA,0.0114387062797323,0.248904111957577,5325
NA,0.00433785525616258,2.15920551196709,7856
NA,0.00889536004047841,0.77812209586127,6075
NA,0.00435981337446719,2.37431234157214,7844
NA,0.010045991265215,1.71808581154999,5711
NA,0.00707809143699706,2.7890192307571,6706
NA,0.0129997031763196,-0.217855306784575,4964
NA,0.00749427913222462,2.86289066075713,6558
NA,0.00710890761576593,2.84326127905358,6690
NA,0.0106737589091063,1.36669198605325,5534
NA,0.0148066872078925,-0.0621637449640652,4546
NA,0.00442205875646323,2.82220182146517,7812
NA,0.008254922372289,0.438004812387011,6280
NA,0.00531373373698443,3.36974437982213,7410
NA,0.0125994610693306,0.424285535623707,5039
NA,0.00367656981572509,0.623396946936427,8188
NA,0.0172728822287172,-0.674520250120096,4079
NA,0.0149313600827008,-0.040899591906533,4520
NA,0.0133656929945573,0.354513674762586,4875
NA,0.0123603574652225,0.258353296810673,5099
NA,0.00744476120453328,2.91627518997942,6579
NA,0.0105967137170956,1.36956438469315,5558
NA,0.0174936468573287,-0.986204055963392,4042
NA,0.0116350019956008,0.000202361268713111,5267
NA,0.0167953552957624,-0.544920487225808,4173
NA,0.00624896329827607,3.34819477672653,7040
NA,0.0141658064443618,0.242412329336053,4709
NA,0.00530035612173378,3.36314512410415,7421
NA,0.0118868638807908,0.131063037793433,5206
NA,0.00962579600978643,1.76664977855751,5844
NA,0.0053006546292454,3.36314512410415,7421
NA,0.0112918086955324,0.332005570954282,5355
NA,0.0182637644605711,-0.990141052003284,3896
NA,0.0180374877899885,-1.06223044697078,3940
NA,0.00548333243001252,3.7463521669875,7344
NA,0.00642965512815863,3.7986641981738,6974
NA,0.0197128176875412,-1.05937293878836,3662
NA,0.0123998662037775,0.281458357030168,5087
NA,0.0187462817830965,-0.372856045487273,3819
NA,0.00933065404649824,1.61230905904165,5949
NA,0.00813665186520666,0.44926775639929,6320
NA,0.0131846064841375,-0.175629979061466,4927
NA,0.00304693233687431,-0.698235807086736,8500
NA,0.0114573411643505,0.181688476414195,5319
NA,0.00477452053688467,2.00119992901368,7635
NA,0.0192471787286922,-0.900230009961401,3746
NA,0.0120273145195097,0.191291474626249,5167
NA,0.0103005945449695,1.28685967966953,5654
NA,0.00805146684404463,0.490040729243937,6350
NA,0.0176049308246002,-1.14406668246232,4012
NA,0.00728183729574084,2.99600247907055,6631
NA,0.00576478561386466,4.10123541916201,7226
NA,0.00341290470212698,-0.498975226888395,8325
NA,0.00344343492761254,0.241442818865499,8309
NA,0.0096408521104604,1.77554081293421,5842
NA,0.00505929857026786,3.24475736844711,7507
NA,0.004325095792301,2.0796829357978,7866
NA,0.0134875277616084,0.380366612736584,4847
NA,0.000953272548504174,-6.05865628441006,10058
NA,0.0140170617494732,0.225875117311116,4748
NA,0.00703777276910841,2.97071990554938,6722
NA,0.00817887995857745,0.519313468821147,6304
NA,0.016419026479125,-0.512661836865037,4247
NA,0.0183771469630301,-0.591476007065293,3871
NA,0.00565056660212576,4.19847691145368,7276
NA,0.0192220958741382,-0.886484984066087,3748
NA,0.0145678885653615,-0.261598366465455,4608
NA,0.0137275016400963,0.330164373092603,4805
NA,0.00105687885545194,-4.39006850777545,9944
NA,0.00790440269280225,0.56683524478821,6412
NA,0.00955690759699792,1.69606289885931,5871
NA,0.0112050652736798,0.406561194751009,5383
NA,0.0139652318973094,0.167010527695919,4758
NA,0.0183136707684025,-0.993183568788914,3886
NA,0.0123670245474204,0.251415290599557,5098
NA,0.00856843017507345,0.800322575461064,6180
NA,0.0108416073443368,1.0528216685771,5491
NA,0.00116956977173686,-4.83845212443755,9825
NA,0.00521713714115322,3.39124634348991,7454
NA,0.00794303906615824,0.553965680494824,6398
NA,0.00395489473361522,0.62747591558036,8056
NA,0.0166385512566194,-0.503810578562951,4204
NA,0.00305774445645511,-0.671239435412088,8494
NA,0.0160683708405122,-0.413329478968473,4306
NA,0.0109365231310949,1.04002213012796,5466
NA,0.013246352840215,-0.340084986394026,4914
NA,0.00343396987766027,0.245664326576218,8314
NA,0.0126611071964726,0.513683949210763,5027
NA,0.00623739493545145,3.32580651240528,7046
NA,0.0144910869281739,-0.0895804558666116,4621
NA,0.00797879649326205,0.395631510065108,6377
NA,0.0193871282227337,-0.944904388469888,3717
NA,0.0193479674123228,-0.960678463912219,3726
NA,0.0145340507803485,-0.227032471825571,4615
NA,0.00514433492906392,3.32287692388781,7477
NA,0.00443575869314373,2.77606438339003,7803
NA,0.0118609130335972,0.208096954980888,5216
NA,0.00535042864270508,3.74055160960586,7393
NA,0.0106214079773054,1.38356945574846,5549
NA,0.0157058334257454,-0.30761979746464,4374
NA,0.00336121621076018,-0.533485727058802,8345
NA,0.00808798362035304,0.447854034069622,6339
NA,0.00943152555264533,1.67145687398568,5925
NA,0.0173621361376718,-0.71306515152398,4064
NA,0.018514159116894,-0.385390299355325,3854
NA,0.0176395511860028,-1.16199169021157,4006
NA,0.0134837368503213,0.380366612736584,4847
NA,0.0190033395867795,-0.739183967128738,3788
NA,0.0103288978850469,1.26701395375676,5649
NA,0.0115303804259747,0.164046155243519,5302
NA,0.00672662411816418,2.96972871214433,6831
NA,0.00694649262819439,2.99833527546231,6757
NA,0.000400486011058092,-1.47751905083315,10644
NA,0.0100562609126791,1.7176221600506,5710
